Team,Week,Term,Rank,dma_name,dma_id,score,refresh_date
Boston Celtics,2024-01-07 00:00:00,Celtics,10.0,24,2024-05-11,Huntsville-Decatur (Florence) AL,691
Boston Celtics,2024-01-21 00:00:00,Celtics,7.0,24,2024-05-11,Huntsville-Decatur (Florence) AL,691
Boston Celtics,2024-01-28 00:00:00,Celtics,12.0,24,2024-05-11,Huntsville-Decatur (Florence) AL,691
Boston Celtics,2024-02-11 00:00:00,Celtics,7.0,24,2024-05-11,Huntsville-Decatur (Florence) AL,691
Boston Celtics,2024-02-18 00:00:00,Celtics,nan,24,2024-05-11,Huntsville-Decatur (Florence) AL,691
Boston Celtics,2024-03-24 00:00:00,Celtics,6.0,24,2024-05-11,Huntsville-Decatur (Florence) AL,691
Boston Celtics,2024-04-14 00:00:00,Celtics,nan,24,2024-05-11,Huntsville-Decatur (Florence) AL,691
Boston Celtics,2024-04-28 00:00:00,Celtics,17.0,24,2024-05-11,Huntsville-Decatur (Florence) AL,691
Boston Celtics,2024-01-14 00:00:00,Celtics,nan,24,2024-05-11,Juneau AK,747
Boston Celtics,2024-01-21 00:00:00,Celtics,nan,24,2024-05-11,Juneau AK,747
Boston Celtics,2024-02-25 00:00:00,Celtics,nan,24,2024-05-11,Juneau AK,747
Boston Celtics,2024-03-10 00:00:00,Celtics,nan,24,2024-05-11,Juneau AK,747
Boston Celtics,2024-03-17 00:00:00,Celtics,nan,24,2024-05-11,Juneau AK,747
Boston Celtics,2024-03-31 00:00:00,Celtics,nan,24,2024-05-11,Juneau AK,747
Boston Celtics,2024-04-14 00:00:00,Celtics,nan,24,2024-05-11,Juneau AK,747
Boston Celtics,2024-04-28 00:00:00,Celtics,17.0,24,2024-05-11,Juneau AK,747
Boston Celtics,2024-01-07 00:00:00,Celtics,9.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-01-28 00:00:00,Celtics,8.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-02-04 00:00:00,Celtics,7.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-02-11 00:00:00,Celtics,6.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-03-03 00:00:00,Celtics,13.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-03-10 00:00:00,Celtics,9.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-03-17 00:00:00,Celtics,8.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-03-24 00:00:00,Celtics,8.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-04-28 00:00:00,Celtics,16.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-05-05 00:00:00,Celtics,16.0,24,2024-05-11,Seattle-Tacoma WA,819
Boston Celtics,2024-01-07 00:00:00,Celtics,15.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-01-14 00:00:00,Celtics,11.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-01-21 00:00:00,Celtics,11.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-01-28 00:00:00,Celtics,13.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-02-25 00:00:00,Celtics,11.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-03-03 00:00:00,Celtics,14.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-03-17 00:00:00,Celtics,14.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-03-31 00:00:00,Celtics,14.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-04-07 00:00:00,Celtics,12.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-04-14 00:00:00,Celtics,7.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-04-21 00:00:00,Celtics,26.0,24,2024-05-11,Savannah GA,507
Boston Celtics,2024-01-07 00:00:00,Celtics,15.0,24,2024-05-11,Orlando-Daytona Beach-Melbourne FL,534
