G,TEAM,Date,Start (ET),,,,Opponent,game_result,,Tm,Opp,W,L,Streak,Notes
65,Boston Celtics,"Tue, Mar 12, 2024",9:00p,,Box Score,@,Utah Jazz,W,,123,107,51,14,W 3,
66,Boston Celtics,"Thu, Mar 14, 2024",7:30p,,Box Score,,Phoenix Suns,W,,127,112,52,14,W 4,
67,Boston Celtics,"Sun, Mar 17, 2024",6:00p,,Box Score,@,Washington Wizards,W,,130,104,53,14,W 5,
68,Boston Celtics,"Mon, Mar 18, 2024",7:30p,,Box Score,,Detroit Pistons,W,,119,94,54,14,W 6,
69,Boston Celtics,"Wed, Mar 20, 2024",7:30p,,Box Score,,Milwaukee Bucks,W,,122,119,55,14,W 7,
70,Boston Celtics,"Fri, Mar 22, 2024",7:00p,,Box Score,@,Detroit Pistons,W,,129,102,56,14,W 8,
71,Boston Celtics,"Sat, Mar 23, 2024",8:00p,,Box Score,@,Chicago Bulls,W,,124,113,57,14,W 9,
72,Boston Celtics,"Mon, Mar 25, 2024",7:30p,,Box Score,@,Atlanta Hawks,L,,118,120,57,15,L 1,
73,Boston Celtics,"Thu, Mar 28, 2024",7:30p,,Box Score,@,Atlanta Hawks,L,OT,122,123,57,16,L 2,
74,Boston Celtics,"Sat, Mar 30, 2024",5:00p,,Box Score,@,New Orleans Pelicans,W,,104,92,58,16,W 1,
75,Boston Celtics,"Mon, Apr 1, 2024",7:00p,,Box Score,@,Charlotte Hornets,W,,118,104,59,16,W 2,
76,Boston Celtics,"Wed, Apr 3, 2024",7:30p,,Box Score,,Oklahoma City Thunder,W,,135,100,60,16,W 3,
77,Boston Celtics,"Fri, Apr 5, 2024",7:30p,,Box Score,,Sacramento Kings,W,,101,100,61,16,W 4,
78,Boston Celtics,"Sun, Apr 7, 2024",6:00p,,Box Score,,Portland Trail Blazers,W,,124,107,62,16,W 5,
79,Boston Celtics,"Tue, Apr 9, 2024",7:30p,,Box Score,@,Milwaukee Bucks,L,,91,104,62,17,L 1,
